ppm,0,15,15,52.5
cbe,0,1.3,1.3,3.8
rbe_f,0,1,1,1
rbe,0,3.2,3.2,3.2
ppm_tumor,52.5,52.5,52.5,52.5
ppm_sano,0,15,15,15
cbe_tumor,0,3.8,3.8,3.8
cbe_sano,0,1.3,1.3,1.3
rbe_f_tumor,0,1,1,1
rbe_f_sano,0,1,1,1
rbe_tumor,0,3.2,3.2,3.2
rbe_sano,0,3.2,3.2,3.2
